Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH,Assists_Position,ASSISTS,ASSISTS PER MATCH,Pass_Position,Completed Pass,Total Pass,Pass_Completion_Rate,Goals_Per_90,Assists_Scaled
250,WILSON MIGUEIS MANAFÁ JANCÓ,GRANADA CF,0,4,0.0,239,0,0.0,431,75,98,76.53061224489795,0.0,-0.5650052570227949
250,ÁLVARO FERNÁNDEZ,GRANADA CF,0,13,0.0,239,0,0.0,366,150,191,78.53403141361257,0.0,-0.5650052570227949
250,ÓSCAR MELENDO,GRANADA CF,0,22,0.0,239,0,0.0,281,299,364,82.14285714285714,0.0,-0.5650052570227949
145,ABDUL MUMIN,RAYO VALLECANO,1,13,0.08,239,0,0.0,247,359,451,79.6008869179601,6.923076923076923,-0.5650052570227949
250,ALFONSO ESPINO,RAYO VALLECANO,0,28,0.0,137,1,0.04,58,772,1024,75.390625,0.0,0.053120152369664414
250,ANDREI RATIU,RAYO VALLECANO,0,8,0.0,239,0,0.0,401,106,139,76.2589928057554,0.0,-0.5650052570227949
250,ARIDANE HERNÁNDEZ,RAYO VALLECANO,0,18,0.0,239,0,0.0,139,616,721,85.43689320388349,0.0,-0.5650052570227949
250,DANI CÁRDENAS,RAYO VALLECANO,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,DIEGO MÉNDEZ,RAYO VALLECANO,0,1,0.0,239,0,0.0,563,2,2,100.0,0.0,-0.5650052570227949
95,FLORIAN LEJEUNE,RAYO VALLECANO,2,29,0.07,137,1,0.03,14,1284,1569,81.83556405353728,6.206896551724138,-0.10141119997845045
66,ISI PALAZÓN,RAYO VALLECANO,3,29,0.1,137,1,0.03,96,630,848,74.29245283018868,9.310344827586206,-0.10141119997845045
250,IVÁN BALLIU,RAYO VALLECANO,0,27,0.0,239,0,0.0,99,646,841,76.81331747919144,0.0,-0.5650052570227949
145,JORGE DE FRUTOS,RAYO VALLECANO,1,28,0.04,239,0,0.0,323,211,281,75.08896797153025,3.214285714285714,-0.5650052570227949
250,JORGE MORENO,RAYO VALLECANO,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,JOSÉ POZO,RAYO VALLECANO,0,2,0.0,239,0,0.0,531,11,11,100.0,0.0,-0.5650052570227949
145,KIKE PÉREZ,RAYO VALLECANO,1,22,0.05,239,0,0.0,301,259,326,79.4478527607362,4.090909090909091,-0.5650052570227949
250,MARTÍN PASCUAL,RAYO VALLECANO,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,MIGUEL CRESPO DA SILVA,RAYO VALLECANO,0,7,0.0,239,0,0.0,403,115,135,85.18518518518519,0.0,-0.5650052570227949
250,MIGUEL ÁNGEL MORRO,RAYO VALLECANO,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,PABLO MUÑOZ,RAYO VALLECANO,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
145,PATHÉ CISS,RAYO VALLECANO,1,24,0.04,239,0,0.0,154,570,687,82.96943231441048,3.75,-0.5650052570227949
250,PEP CHAVARRÍA,RAYO VALLECANO,0,15,0.0,137,1,0.07,288,280,353,79.3201133144476,0.0,0.516714209414009
145,RADAMEL FALCAO,RAYO VALLECANO,1,16,0.06,239,0,0.0,466,51,65,78.46153846153847,5.625,-0.5650052570227949
145,RANDY NTEKA,RAYO VALLECANO,1,11,0.09,137,1,0.09,403,97,135,71.85185185185186,8.181818181818182,0.8257769141102386
145,RAÚL DE TOMÁS,RAYO VALLECANO,1,22,0.05,74,2,0.09,345,192,240,80.0,4.090909090909091,0.8257769141102386
250,SALVI SÁNCHEZ,RAYO VALLECANO,0,1,0.0,239,0,0.0,528,10,12,83.33333333333334,0.0,-0.5650052570227949
66,SERGIO CAMELLO,RAYO VALLECANO,3,25,0.12,137,1,0.04,318,220,288,76.38888888888889,10.799999999999999,0.053120152369664414
250,STOLE DIMITRIEVSKI,RAYO VALLECANO,0,30,0.0,239,0,0.0,98,464,844,54.976303317535546,0.0,-0.5650052570227949
95,TIAGO MANUEL DIAS CORREIA,RAYO VALLECANO,2,16,0.13,239,0,0.0,479,36,52,69.23076923076923,11.25,-0.5650052570227949
145,UNAI LÓPEZ,RAYO VALLECANO,1,27,0.04,74,2,0.07,52,885,1051,84.20551855375832,3.333333333333333,0.516714209414009
27,ÁLVARO GARCÍA,RAYO VALLECANO,6,26,0.23,137,1,0.04,199,381,564,67.5531914893617,20.76923076923077,0.053120152369664414
250,ÓSCAR TREJO,RAYO VALLECANO,0,24,0.0,239,0,0.0,215,442,527,83.87096774193549,0.0,-0.5650052570227949
145,ÓSCAR VALENTÍN,RAYO VALLECANO,1,27,0.04,239,0,0.0,55,834,1032,80.81395348837209,3.333333333333333,-0.5650052570227949
250,AGUSTÍN MARCHESÍN,RC CELTA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
145,CARL STARFELT,RC CELTA,1,23,0.04,239,0,0.0,103,733,840,87.26190476190476,3.9130434782608696,-0.5650052570227949
145,CARLES PÉREZ,RC CELTA,1,11,0.09,239,0,0.0,396,123,149,82.5503355704698,8.181818181818182,-0.5650052570227949
250,CARLOS DOMÍNGUEZ,RC CELTA,0,16,0.0,239,0,0.0,202,433,558,77.59856630824373,0.0,-0.5650052570227949
250,CARLOS DOTOR,RC CELTA,0,16,0.0,239,0,0.0,302,273,324,84.25925925925925,0.0,-0.5650052570227949
250,COKE CARRILLO,RC CELTA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,DAMIÁN RODRÍGUEZ,RC CELTA,0,1,0.0,239,0,0.0,524,13,14,92.85714285714286,0.0,-0.5650052570227949
250,FRAN BELTRÁN,RC CELTA,0,25,0.0,239,0,0.0,68,811,947,85.6388595564942,0.0,-0.5650052570227949
250,FRANCO CERVI,RC CELTA,0,14,0.0,239,0,0.0,357,175,209,83.73205741626795,0.0,-0.5650052570227949
250,GABRI VEIGA,RC CELTA,0,1,0.0,239,0,0.0,553,3,4,75.0,0.0,-0.5650052570227949
250,GONÇALO MENDES PACIÊNCIA,RC CELTA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,HUGO SOTELO,RC CELTA,0,13,0.0,239,0,0.0,278,344,375,91.73333333333333,0.0,-0.5650052570227949
250,HUGO ÁLVAREZ,RC CELTA,0,5,0.0,239,0,0.0,406,121,134,90.29850746268657,0.0,-0.5650052570227949
38,IAGO ASPAS,RC CELTA,5,27,0.19,10,6,0.22,99,662,841,78.71581450653984,16.666666666666664,2.8346844946357317
250,IVÁN VILLAR,RC CELTA,0,10,0.0,239,0,0.0,353,121,223,54.26008968609865,0.0,-0.5650052570227949
250,JAVI DOMÍNGUEZ,RC CELTA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
250,JAVI RODRÍGUEZ,RC CELTA,0,0,0.0,239,0,0.0,566,0,0,78.37037287110228,5.637926011855362,-0.5650052570227949
